Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo230106,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,5,9
eo230107,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on white bread or roll inc Bacon and Egg McMuffin,g,2,1,3,3,3,2,1,2,1,1,1,2
eo230108,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on brown bread or roll,g,0,0,0,0,0,0,1,0,0,0,0,0
eo230109,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,2,0
eo230110,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on white bread or roll,g,6,4,6,6,4,7,6,3,4,2,2,1
eo230111,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on brown bread or roll,g,2,2,3,3,2,3,2,3,1,1,2,1
eo230112,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,4
eo2302,Sandwiches,Other savoury or sweet sandwiches,,,g,26,21,22,25,20,27,31,27,27,18,19,22
eo230201,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on white bread or roll,g,11,8,9,4,8,6,7,5,6,4,3,1
eo230202,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on brown bread or roll,g,2,2,1,2,1,1,6,2,2,1,2,1
eo230203,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich bread not specified,g,0,0,1,0,0,0,0,0,0,0,3,5
eo230204,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on white bread or roll including Egg McMuffin,g,6,3,2,2,1,3,3,2,1,1,1,0
eo230205,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on brown bread or roll,g,1,0,1,1,1,1,1,1,1,0,1,0
eo230206,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,0,1
eo230207,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on white bread or roll,g,3,2,3,4,2,2,1,2,0,0,0,0
eo230208,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich on brown bread or roll,g,0,2,0,1,0,1,0,0,0,0,0,0
eo230209,Sandwiches,Other savoury or sweet sandwiches,,Vegetarian based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
eo230210,Sandwiches,Other savoury or sweet sandwiches,,Sweet-filled sandwich,g,0,0,0,0,0,0,0,0,0,0,0,0
eo230211,Sandwiches,Other savoury or sweet sandwiches,,Unspecified sandwiches or rolls,g,2,4,6,11,6,13,12,15,17,10,8,12
eo240,Other food products, ,,,g,125,123,127,134,122,137,110,107,113,128,97,59
eo2401,Other food products,Sauces,,,g,5,5,6,8,9,10,6,6,6,6,6,8
eo240101,Other food products,Sauces,,"Cheese or cream based sauce e.g. carbonara, cauliflower cheese",g,0,0,0,0,0,0,0,0,0,0,0,1
eo240102,Other food products,Sauces,,"Meat-based sauce e.g. bolognese, chilli con carne",g,2,1,2,4,5,7,3,3,2,3,3,4
